SET-WRITE capture start (25G83 adaptation 3)
WRITE t=42752046 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=0 a4=0
WRITE t=43571772 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=15 a4=0
WRITE t=43572184 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=47 a4=0
WRITE t=43572190 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=1 a4=0
WRITE t=43572203 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920384 a4=0
WRITE t=43572209 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920399 a4=0
WRITE t=43572219 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520355855 a4=0
WRITE t=43572233 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98316 a3=15 a4=0
WRITE t=43572438 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98316 a3=47 a4=0
WRITE t=43572447 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=616 a3=251658255 a4=0
WRITE t=43572460 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=8192 a3=1 a4=0
WRITE t=43572465 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=616 a3=520093711 a4=0
SET t=43572485 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=0 a2=8 a3=0 a4=0
WRITE t=43572490 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483648 a4=0
WRITE t=43572499 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=712 a3=15 a4=0
WRITE t=43572510 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=712 a3=268435471 a4=0
SET t=49341670 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=0 a2=8 a3=0 a4=0
WRITE t=49341686 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483648 a4=0
WRITE t=49341699 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=616 a3=251658495 a4=0
