# To display the perf.data header info, please use --header/--header-only options.
#
# dso: libmlx.so
#
# Total Lost Samples: 683
#
# Samples: 26K of event 'apple_firestorm_pmu/cycles/Pu'
# Event count (approx.): 10696575481
#
# Overhead  Command  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# ........  .......  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.11%  python   [.] mlx::core::array::set_data(mlx::core::allocator::Buffer, std::function<void (mlx::core::allocator::Buffer)>)
     0.09%  python   [.] std::pair<std::__detail::_Node_iterator<std::pair<unsigned long const, int>, false, false>, bool> std::_Hashtable<unsigned long, std::pair<unsigned long const, int>, std::allocator<std::pair<unsigned long const, int> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_emplace_uniq<std::pair<unsigned long const, int> >(std::pair<unsigned long const, int>&&)
     0.09%  python   [.] mlx::core::omarchy::allocator()@plt
     0.09%  python   [.] std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_add_ref_copy()
     0.08%  python   [.] mlx::core::omarchy::(anonymous namespace)::direct_window_geometry(mlx::core::array const&)
     0.08%  python   [.] mlx::core::omarchy::commit_values_kv_write(mlx::core::array const&)
     0.07%  python   [.] strcmp@plt
     0.07%  python   [.] std::pair<std::__detail::_Node_iterator<std::pair<unsigned long const, std::vector<mlx::core::array const*, std::allocator<mlx::core::array const*> > >, false, false>, bool> std::_Hashtable<unsigned long, std::pair<unsigned long const, std::vector<mlx::core::array const*, std::allocator<mlx::core::array const*> > >, std::allocator<std::pair<unsigned long const, std::vector<mlx::core::array const*, std::allocator<mlx::core::array const*> > > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::try_emplace<unsigned long>(std::__detail::_Node_const_iterator<std::pair<unsigned long const, std::vector<mlx::core::array const*, std::allocator<mlx::core::array const*> > >, false, false>, unsigned long&&) [clone .isra.0]
     0.07%  python   [.] mlx::core::quantized_matmul(mlx::core::array const&, mlx::core::array const&, mlx::core::array const&, std::optional<mlx::core::array> const&, bool, std::optional<int>, std::optional<int>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::variant<std::monostate, mlx::core::Stream, mlx::core::ThreadLocalStream, mlx::core::Device, mlx::core::Device::DeviceType>)
     0.07%  python   [.] mlx::core::astype(mlx::core::array, mlx::core::Dtype, std::variant<std::monostate, mlx::core::Stream, mlx::core::ThreadLocalStream, mlx::core::Device, mlx::core::Device::DeviceType>)
     0.06%  python   [.] mlx::core::Transpose::eval(std::vector<mlx::core::array, std::allocator<mlx::core::array> > const&, mlx::core::array&)
     0.06%  python   [.] std::vector<mlx::core::array, std::allocator<mlx::core::array> >::~vector()
     0.06%  python   [.] std::_Sp_counted_ptr_inplace<mlx::core::QuantizedMatmul, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
     0.06%  python   [.] mlx::core::array::is_tracer() const@plt
     0.06%  python   [.] mlx::core::array::copy_shared_buffer(mlx::core::array const&, mlx::core::SmallVector<long, 10ul, std::allocator<long> > const&, mlx::core::array::Flags, unsigned long, long)
     0.06%  python   [.] mlx::core::omarchy::EagerFusionScope::~EagerFusionScope()
     0.06%  python   [.] mlx::core::quantization_params_from_mode(mlx::core::QuantizationMode, std::optional<int>, std::optional<int>)
     0.06%  python   [.] mlx::core::SmallVector<int, 10ul, std::allocator<int> >::operator=(mlx::core::SmallVector<int, 10ul, std::allocator<int> > const&) [clone .isra.0]
     0.06%  python   [.] memmove@plt
     0.06%  python   [.] std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const@plt
     0.05%  python   [.] mlx::core::omarchy::(anonymous namespace)::input_ready(mlx::core::array const&, mlx::core::Stream const&)
     0.05%  python   [.] mlx::core::omarchy::device_count()


# Samples: 37K of event 'apple_icestorm_pmu/cycles/Pu'
# Event count (approx.): 17423889817
#
# Overhead  Command  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# ........  .......  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     5.46%  python   [.] mlx::core::eval_impl(std::vector<mlx::core::array, std::allocator<mlx::core::array> >, bool)
     5.03%  python   [.] mlx::core::omarchy::EagerFusionScope::EagerFusionScope(std::deque<mlx::core::array, std::allocator<mlx::core::array> > const&)
     1.93%  python   [.] std::__detail::_Map_base<unsigned long, std::pair<unsigned long const, unsigned long>, std::allocator<std::pair<unsigned long const, unsigned long> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](unsigned long&&) [clone .isra.0]
     1.55%  python   [.] mlx::core::omarchy::dispatch_quantized_gemv_group(std::vector<mlx::core::omarchy::GemvFusionMember, std::allocator<mlx::core::omarchy::GemvFusionMember> >&, mlx::core::array*, mlx::core::Stream const&)
     1.48%  python   [.] mlx::core::array::ArrayDesc::init()
     1.46%  python   [.] mlx::core::array::~array()
     1.06%  python   [.] mlx::core::omarchy::try_eval_eager_fusion(mlx::core::array&, mlx::core::Stream const&)
     1.04%  python   [.] mlx::core::array::is_tracer() const
     0.86%  python   [.] mlx::core::omarchy::(anonymous namespace)::is_op(mlx::core::array const*, std::type_info const&) [clone .isra.0]
     0.82%  python   [.] mlx::core::gpu::eval(mlx::core::array&)
     0.78%  python   [.] mlx::core::issubdtype(mlx::core::Dtype::Category const&, mlx::core::Dtype::Category const&)@plt
     0.77%  python   [.] mlx::core::omarchy::VulkanAllocator::release_quarantine(unsigned long)
     0.64%  python   [.] std::_Hashtable<unsigned long, std::pair<unsigned long const, unsigned long>, std::allocator<std::pair<unsigned long const, unsigned long> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::__location_type std::_Hashtable<unsigned long, std::pair<unsigned long const, unsigned long>, std::allocator<std::pair<unsigned long const, unsigned long> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_locate_tr<unsigned long>(unsigned long const&) const [clone .isra.0]
     0.60%  python   [.] std::_Hashtable<unsigned long, std::pair<unsigned long const, unsigned long>, std::allocator<std::pair<unsigned long const, unsigned long> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, unsigned long>, false>*, unsigned long)
     0.56%  python   [.] std::_Hashtable<unsigned long, std::pair<unsigned long const, int>, std::allocator<std::pair<unsigned long const, int> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, int>, false>*, unsigned long)
     0.52%  python   [.] mlx::core::omarchy::VulkanAllocator::malloc(unsigned long)
     0.46%  python   [.] mlx::core::(anonymous namespace)::validate_quantized_input(std::basic_string_view<char, std::char_traits<char> >, mlx::core::array const&, mlx::core::array const&, int, int, std::optional<mlx::core::array> const&)
     0.42%  python   [.] mlx::core::omarchy::CommandEncoder::dispatch_compute_pipeline(VkPipeline_T*, mlx::core::omarchy::ComputeKernel, std::span<mlx::core::omarchy::ComputeBinding const, 18446744073709551615ul>, mlx::core::omarchy::ComputeParams const&, unsigned int, unsigned int, unsigned int)
     0.38%  python   [.] mlx::core::omarchy::allocator()
     0.38%  python   [.] mlx::core::omarchy::EagerFusionScope::EagerFusionScope(std::deque<mlx::core::array, std::allocator<mlx::core::array> > const&)::{lambda(mlx::core::array const&)#1}::operator()(mlx::core::array const&) const [clone .isra.0]
     0.37%  python   [.] mlx::core::array::set_data(mlx::core::allocator::Buffer, std::function<void (mlx::core::allocator::Buffer)>)
     0.37%  python   [.] std::_Hashtable<unsigned long, std::pair<unsigned long const, mlx::core::array const*>, std::allocator<std::pair<unsigned long const, mlx::core::array const*> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, mlx::core::array const*>, false>*, unsigned long)
     0.36%  python   [.] std::pair<std::__detail::_Node_iterator<std::pair<unsigned long const, int>, false, false>, bool> std::_Hashtable<unsigned long, std::pair<unsigned long const, int>, std::allocator<std::pair<unsigned long const, int> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_emplace_uniq<std::pair<unsigned long const, int> >(std::pair<unsigned long const, int>&&)
     0.34%  python   [.] std::_Hashtable<unsigned long, std::pair<unsigned long const, mlx::core::array const*>, std::allocator<std::pair<unsigned long const, mlx::core::array const*> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_rehash(unsigned long, std::integral_constant<bool, true>) [clone .isra.0]
     0.30%  python   [.] mlx::core::omarchy::get_command_encoder(mlx::core::Stream)
     0.28%  python   [.] mlx::core::array::ArrayDesc::ArrayDesc(mlx::core::SmallVector<int, 10ul, std::allocator<int> >, mlx::core::Dtype, std::shared_ptr<mlx::core::Primitive>, std::vector<mlx::core::array, std::allocator<mlx::core::array> >)
     0.28%  python   [.] __aarch64_ldadd4_acq_rel
     0.27%  python   [.] std::pair<std::__detail::_Node_iterator<unsigned long, true, false>, bool> std::_Hashtable<unsigned long, unsigned long, std::allocator<unsigned long>, std::__detail::_Identity, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_emplace_uniq<unsigned long>(unsigned long&&)
     0.26%  python   [.] mlx::core::omarchy::CommandEncoder::add_temporary(mlx::core::array const&)
     0.24%  python   [.] mlx::core::array::array(mlx::core::SmallVector<int, 10ul, std::allocator<int> >, mlx::core::Dtype, std::shared_ptr<mlx::core::Primitive>, std::vector<mlx::core::array, std::allocator<mlx::core::array> >)
     0.24%  python   [.] mlx::core::array::detach()
     0.24%  python   [.] mlx::core::array::ArrayDesc::~ArrayDesc()
     0.23%  python   [.] std::pair<std::__detail::_Node_iterator<std::pair<unsigned long const, unsigned long>, false, false>, bool> std::_Hashtable<unsigned long, std::pair<unsigned long const, unsigned long>, std::allocator<std::pair<unsigned long const, unsigned long> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_emplace_uniq<unsigned long, unsigned long&>(unsigned long&&, unsigned long&)
     0.23%  python   [.] std::pair<std::_Rb_tree_iterator<mlx::core::Stream>, bool> std::_Rb_tree<mlx::core::Stream, mlx::core::Stream, std::_Identity<mlx::core::Stream>, std::less<mlx::core::Stream>, std::allocator<mlx::core::Stream> >::_M_insert_unique<mlx::core::Stream const&>(mlx::core::Stream const&)
     0.23%  python   [.] std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_add_ref_copy()
     0.23%  python   [.] mlx::core::astype(mlx::core::array, mlx::core::Dtype, bool, std::variant<std::monostate, mlx::core::Stream, mlx::core::ThreadLocalStream, mlx::core::Device, mlx::core::Device::DeviceType>)
     0.21%  python   [.] mlx::core::array::copy_shared_buffer(mlx::core::array const&, mlx::core::SmallVector<long, 10ul, std::allocator<long> > const&, mlx::core::array::Flags, unsigned long, long)
     0.20%  python   [.] mlx::core::omarchy::(anonymous namespace)::plan_values_window(mlx::core::array const&, mlx::core::array const*, std::unordered_map<unsigned long, unsigned long, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, unsigned long> > > const&, std::vector<mlx::core::omarchy::(anonymous namespace)::GemvGroup, std::allocator<mlx::core::omarchy::(anonymous namespace)::GemvGroup> > const&)
     0.20%  python   [.] mlx::core::omarchy::VulkanAllocator::stamp_batch(std::vector<mlx::core::omarchy::VulkanBuffer*, std::allocator<mlx::core::omarchy::VulkanBuffer*> > const&, unsigned long)
     0.19%  python   [.] mlx::core::omarchy::CommandEncoder::gated_barriers()
     0.18%  python   [.] mlx::core::SmallVector<int, 10ul, std::allocator<int> >::operator==(mlx::core::SmallVector<int, 10ul, std::allocator<int> > const&) const [clone .isra.0]
     0.17%  python   [.] mlx::core::SmallVector<long, 10ul, std::allocator<long> >::free_storage()
     0.17%  python   [.] mlx::core::SmallVector<int, 10ul, std::allocator<int> >::operator=(mlx::core::SmallVector<int, 10ul, std::allocator<int> > const&) [clone .isra.0]
     0.17%  python   [.] mlx::core::omarchy::dispatch_rope_pair(std::array<mlx::core::array, 2ul>&, mlx::core::Stream const&)
     0.15%  python   [.] std::_Hashtable<unsigned long, unsigned long, std::allocator<unsigned long>, std::__detail::_Identity, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::__location_type std::_Hashtable<unsigned long, unsigned long, std::allocator<unsigned long>, std::__detail::_Identity, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_locate_tr<unsigned long>(unsigned long const&) const [clone .isra.0]
     0.15%  python   [.] mlx::core::omarchy::device(unsigned int)
     0.14%  python   [.] std::_Hashtable<unsigned long, unsigned long, std::allocator<unsigned long>, std::__detail::_Identity, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<unsigned long, false>*, unsigned long)
     0.14%  python   [.] mlx::core::quantized_matmul(mlx::core::array const&, mlx::core::array const&, mlx::core::array const&, std::optional<mlx::core::array> const&, bool, std::optional<int>, std::optional<int>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::variant<std::monostate, mlx::core::Stream, mlx::core::ThreadLocalStream, mlx::core::Device, mlx::core::Device::DeviceType>)
     0.14%  python   [.] mlx::core::default_stream(mlx::core::Device)
     0.13%  python   [.] mlx::core::broadcast_arrays(std::vector<mlx::core::array, std::allocator<mlx::core::array> > const&, std::variant<std::monostate, mlx::core::Stream, mlx::core::ThreadLocalStream, mlx::core::Device, mlx::core::Device::DeviceType>)
     0.12%  python   [.] mlx::core::astype(mlx::core::array, mlx::core::Dtype, std::variant<std::monostate, mlx::core::Stream, mlx::core::ThreadLocalStream, mlx::core::Device, mlx::core::Device::DeviceType>)
     0.12%  python   [.] mlx::core::broadcast(mlx::core::array const&, mlx::core::array&)
     0.12%  python   [.] mlx::core::SmallVector<int, 10ul, std::allocator<int> >::free_storage()
